province,ymid,trawl,gillnet,trap,hook and line,seine,other
Tianjin,39.41,24,356,12,9,9,4
Hebei,38.03,179,3320,0,0,40,0
Liaoning,41.1,3481,8906,1184,933,84,658
Shanghai,31.2,197,0,39,23,12,0
Jiangsu,32.95,802,2939,880,1,35,90
Zhejiang,29.16,5703,5497,2443,1021,433,720
Fujian,25.95,2853,8147,2311,1273,1272,3165
Shandong,36.4,5235,8053,2052,892,247,164
Guangdong,22.9,4076,21771,225,2177,1135,2682
Guangxi,22.84,1807,4339,0,254,218,495
Hainan,19.16,1455,12687,901,2950,2200,1413
Total,,25812,76015,10047,9533,5685,9391
